Instance,Income
111994,34965.29091
111995,14980.77915
111996,28087.93013
111997,90514.11482
111998,29874.84041
111999,96748.32465
112000,103346.3167
112001,54944.04515
112002,34834.11891
112003,106209.6263
112004,11248.4755
112005,188542.38
112006,32589.77865
112007,105326.0487
112008,292219.2398
112009,75002.83318
112010,44192.78989
112011,26574.07304
112012,18597.97089
112013,16160.60928
112014,117584.6871
112015,49807.04467
112016,52885.44362
112017,26137.45493
112018,130255.3888
112019,50920.19662
112020,36926.30941
112021,26882.34393
112022,89079.71442
112023,57451.91054
112024,29342.67345
112025,74763.68618
112026,35349.39046
112027,58924.92158
112028,42921.57815
112029,42695.59639
112030,199558.2067
112031,208249.3923
112032,289785.9901
112033,121718.7889
112034,211008.8003
112035,110504.9657
112036,192127.7439
112037,160615.3882
112038,196681.9649
112039,52207.96382
112040,76574.77434
112041,64567.16359
112042,40239.44059
112043,61287.95468
112044,119623.801
112045,15327.57063
112046,227862.803
112047,34208.50446
112048,23876.38857
112049,99068.41913
112050,45304.98673
112051,73339.92239
112052,130618.698
112053,181552.5395
112054,96826.2059
112055,25857.64527
112056,97979.77936
112057,22311.50593
112058,30325.35628
112059,39896.07824
112060,324859.7495
112061,147724.3126
112062,208482.7856
112063,69842.2354
112064,20998.06496
112065,54745.6462
112066,5041.893351
112067,10817.3799
112068,64370.71784
112069,240595.448
112070,357221.0776
112071,45171.64918
112072,72183.58437
112073,42178.44709
112074,25296.54951
112075,18552.41179
112076,140132.5493
112077,1248140.565
112078,7666.801142
112079,161038.2779
112080,93850.35447
112081,889476.5119
112082,38047.22886
112083,91177.06134
112084,15790.19297
112085,37755.9179
112086,33234.94282
112087,60951.67385
112088,130735.4604
112089,51879.38927
112090,175486.5671
112091,43846.59165
112092,30393.15334
112093,79197.97592
112094,34991.03199
112095,48226.26458
112096,116587.2372
112097,18192.90935
112098,33661.2616
112099,32238.06795
112100,45600.97112
112101,153589.6934
112102,28867.14744
112103,117871.9274
112104,73116.60174
112105,46460.30126
112106,82998.39302
112107,119201.1543
112108,62712.49857
112109,26986.62393
112110,46815.60952
112111,31842.25577
112112,75067.41228
112113,74756.24039
112114,65637.30856
112115,18351.20442
112116,41038.39822
112117,89876.0343
112118,25702.52005
112119,57091.28399
112120,508987.6865
112121,101474.2793
112122,514210.6395
112123,195224.4622
112124,33854.26313
112125,196471.9001
112126,180199.3482
112127,19168.69948
112128,40380.48093
112129,108035.1029
112130,69446.4116
112131,19000.98366
112132,91716.90974
112133,267576.3052
112134,16659.66275
112135,17108.76071
112136,57038.82386
112137,12548.71506
112138,40309.78834
112139,61913.19379
112140,37358.21249
112141,39558.38349
112142,55531.11606
112143,171486.6034
112144,28155.56663
112145,30155.58953
112146,37277.09008
112147,292582.2677
112148,51409.25352
112149,66486.40514
112150,13047.54557
112151,342843.9325
112152,81332.62688
112153,62058.8639
112154,28483.565
112155,101479.2637
112156,74703.28215
112157,94141.42563
112158,32674.04732
112159,257346.4691
112160,50179.96748
112161,128055.1225
112162,96852.49151
112163,11246.30274
112164,24342.64176
112165,138069.5995
112166,53111.19573
112167,29591.96435
112168,52181.57984
112169,295730.8298
112170,218241.9419
112171,40873.23242
112172,19591.91978
112173,120069.3988
112174,37051.67505
112175,37325.83601
112176,30356.37243
112177,94844.05592
112178,19565.25011
112179,30434.6437
112180,35488.37514
112181,8449.45741
112182,279159.8382
112183,95337.66894
112184,25506.65137
112185,284616.6181
112186,9497.582234
112187,127134.5726
112188,177488.6987
112189,60769.96894
112190,36812.6847
112191,84647.94003
112192,281906.5475
112193,31346.59028
112194,142595.0852
112195,36165.22635
112196,26342.27836
112197,194937.7299
112198,33900.62033
112199,44105.40721
112200,57653.4511
112201,291846.005
112202,142750.2767
112203,41907.02531
112204,75276.12066
112205,9510.322527
112206,101556.3179
112207,266876.3483
112208,63981.6621
112209,392282.7712
112210,45615.81889
112211,265278.285
112212,53107.75986
112213,17883.27717
